Title,Year,imdbID,Type,Poster
The Shawshank Redemption,1994,tt0111161,Movie,https://example.com/poster1.jpg
The Godfather,1972,tt0068646,Movie,https://example.com/poster2.jpg
Pulp Fiction,1994,tt0110912,Movie,https://example.com/poster3.jpg
The Dark Knight,2008,tt0468569,Movie,https://example.com/poster4.jpg
Schindler's List,1993,tt0108052,Movie,https://example.com/poster5.jpg
Forrest Gump,1994,tt0109830,Movie,https://example.com/poster6.jpg
Inception,2010,tt1375666,Movie,https://example.com/poster7.jpg
The Matrix,1999,tt0133093,Movie,https://example.com/poster8.jpg
The Lord of the Rings: The Fellowship of the Ring,2001,tt0120737,Movie,https://example.com/poster9.jpg
The Silence of the Lambs,1991,tt0102926,Movie,https://example.com/poster10.jpg
Avatar,2009,tt0499549,Movie,https://example.com/poster11.jpg
Jurassic Park,1993,tt0107290,Movie,https://example.com/poster12.jpg
Titanic,1997,tt0120338,Movie,https://example.com/poster13.jpg
The Avengers,2012,tt0848228,Movie,https://example.com/poster14.jpg
E.T. the Extra-Terrestrial,1982,tt0083866,Movie,https://example.com/poster15.jpg
The Lion King,1994,tt0110357,Movie,https://example.com/poster16.jpg
Harry Potter and the Sorcerer's Stone,2001,tt0241527,Movie,https://example.com/poster17.jpg
Gladiator,2000,tt0172495,Movie,https://example.com/poster18.jpg
The Dark Knight Rises,2012,tt1345836,Movie,https://example.com/poster19.jpg
Saving Private Ryan,1998,tt0120815,Movie,https://example.com/poster20.jpg
Interstellar,2014,tt0816692,Movie,https://example.com/poster21.jpg
Forrest Gump 2: Gump's Odyssey,2023,tt9999999,Movie,https://example.com/poster22.jpg
The Green Mile,1999,tt0120689,Movie,https://example.com/poster23.jpg
The Revenant,2015,tt1663202,Movie,https://example.com/poster24.jpg
The Social Network,2010,tt1285016,Movie,https://example.com/poster25.jpg
The Great Gatsby,2013,tt1343092,Movie,https://example.com/poster26.jpg
The Grand Budapest Hotel,2014,tt2278388,Movie,https://example.com/poster27.jpg
The Shining,1980,tt0081505,Movie,https://example.com/poster28.jpg
The Martian,2015,tt3659388,Movie,https://example.com/poster29.jpg
The Shawshank Redemption 2: Redemption Day,2022,tt8888888,Movie,https://example.com/poster30.jpg
The Departed,2006,tt0407887,Movie,https://example.com/poster31.jpg
No Country for Old Men,2007,tt0477348,Movie,https://example.com/poster32.jpg
Forrest Gump 3: Gump's Legacy,2025,tt7777777,Movie,https://example.com/poster33.jpg
The Prestige,2006,tt0482571,Movie,https://example.com/poster34.jpg
Memento,2000,tt0209144,Movie,https://example.com/poster35.jpg
The Wolf of Wall Street,2013,tt0993846,Movie,https://example.com/poster36.jpg
La La Land,2016,tt3783958,Movie,https://example.com/poster37.jpg
Django Unchained,2012,tt1853728,Movie,https://example.com/poster38.jpg
The Incredibles,2004,tt0317705,Movie,https://example.com/poster39.jpg
Finding Nemo,2003,tt0266543,Movie,https://example.com/poster40.jpg
The Hateful Eight,2015,tt3460252,Movie,https://example.com/poster41.jpg
Whiplash,2014,tt2582802,Movie,https://example.com/poster42.jpg
Mad Max: Fury Road,2015,tt1392190,Movie,https://example.com/poster43.jpg
The King's Speech,2010,tt1504320,Movie,https://example.com/poster44.jpg
The Sixth Sense,1999,tt0167404,Movie,https://example.com/poster45.jpg
The Shawshank Redemption 3: Redemption Strikes Back,2027,tt6666666,Movie,https://example.com/poster46.jpg
Se7en,1995,tt0114369,Movie,https://example.com/poster47.jpg
The Truman Show,1998,tt0120382,Movie,https://example.com/poster48.jpg
The Imitation Game,2014,tt2084970,Movie,https://example.com/poster49.jpg
The Witcher: Nightmare of the Wolf,2021,tt10655758,Movie,https://example.com/poster50.jpg
The Matrix Reloaded,2003,tt0234215,Movie,https://example.com/poster51.jpg
Forrest Gump 4: Gump's Return,2030,tt5555555,Movie,https://example.com/poster52.jpg
Casablanca,1942,tt0034583,Movie,https://example.com/poster53.jpg
The Dark Knight Returns,2019,tt12043476,Movie,https://example.com/poster54.jpg
Schindler's List 2: Schindler's Revenge,2032,tt4444444,Movie,https://example.com/poster55.jpg
The Matrix Revolutions,2003,tt0242653,Movie,https://example.com/poster56.jpg
Braveheart,1995,tt0112573,Movie,https://example.com/poster57.jpg
The Departed 2: Departed Again,2035,tt3333333,Movie,https://example.com/poster58.jpg
The Godfather Part III,1990,tt0099674,Movie,https://example.com/poster59.jpg
Inception 2: The Dream Continues,2038,tt2222222,Movie,https://example.com/poster60.jpg
The Empire Strikes Back,1980,tt0080684,Movie,https://example.com/poster61
